time;MSL_filtered_GIA_TPA_corrected_adjusted;
2011-08-28;6.168259;
2011-08-29;6.130467;
2011-08-30;6.0923862;
2011-08-31;6.054046;
2011-09-01;6.0154753;
2011-09-02;5.976701;
2011-09-03;5.937751;
2011-09-04;5.898652;
2011-09-05;5.8594303;
2011-09-06;5.8201118;
2011-09-07;5.780721;
2011-09-08;5.741282;
2011-09-09;5.701818;
2011-09-10;5.6623516;
2011-09-11;5.6229043;
2011-09-12;5.583497;
2011-09-13;5.5441494;
2011-09-14;5.5048814;
2011-09-15;5.4657116;
2011-09-16;5.426658;
2011-09-17;5.3877387;
2011-09-18;5.34897;
2011-09-19;5.310369;
2011-09-20;5.2719507;
2011-09-21;5.233731;
2011-09-22;5.195723;
2011-09-23;5.157942;
2011-09-24;5.1204;
2011-09-25;5.0831094;
2011-09-26;5.0460825;
2011-09-27;5.0093303;
2011-09-28;4.9728622;
2011-09-29;4.936688;
2011-09-30;4.9008155;
2011-10-01;4.865253;
2011-10-02;4.830006;
2011-10-03;4.7950816;
2011-10-04;4.7604833;
2011-10-05;4.7262154;
2011-10-06;4.692281;
2011-10-07;4.658681;
2011-10-08;4.625417;
2011-10-09;4.5924892;
2011-10-10;4.5598955;
2011-10-11;4.527635;
2011-10-12;4.4957037;
2011-10-13;4.464099;
2011-10-14;4.432815;
2011-10-15;4.4018483;
2011-10-16;4.3711925;
2011-10-17;4.340841;
2011-10-18;4.3107877;
2011-10-19;4.281026;
2011-10-20;4.2515483;
2011-10-21;4.2223473;
2011-10-22;4.193415;
2011-10-23;4.1647444;
2011-10-24;4.1363273;
2011-10-25;4.108155;
2011-10-26;4.0802197;
2011-10-27;4.052514;
2011-10-28;4.02503;
2011-10-29;3.9977596;
2011-10-30;3.9706948;
2011-10-31;3.9438288;
2011-11-01;3.9171534;
2011-11-02;3.8906615;
2011-11-03;3.8643458;
2011-11-04;3.8381984;
2011-11-05;3.8122122;
2011-11-06;3.7863803;
2011-11-07;3.7606952;
2011-11-08;3.7351496;
2011-11-09;3.7097368;
2011-11-10;3.6844494;
2011-11-11;3.659281;
2011-11-12;3.6342247;
2011-11-13;3.6092734;
2011-11-14;3.584421;
2011-11-15;3.559661;
2011-11-16;3.5349872;
2011-11-17;3.5103934;
2011-11-18;3.4858737;
2011-11-19;3.4614227;
2011-11-20;3.437035;
2011-11-21;3.4127066;
2011-11-22;3.388433;
2011-11-23;3.3642108;
2011-11-24;3.3400378;
2011-11-25;3.3159115;
2011-11-26;3.2918315;
2011-11-27;3.2677975;
2011-11-28;3.2438102;
2011-11-29;3.219871;
2011-11-30;3.1959834;
2011-12-01;3.1721501;
2011-12-02;3.1483765;
2011-12-03;3.124668;
2011-12-04;3.1010313;
2011-12-05;3.0774744;
2011-12-06;3.0540063;
2011-12-07;3.030637;
2011-12-08;3.007378;
2011-12-09;2.9842417;
2011-12-10;2.9612417;
2011-12-11;2.9383922;
2011-12-12;2.9157093;
2011-12-13;2.893209;
2011-12-14;2.870909;
2011-12-15;2.8488276;
2011-12-16;2.8269837;
2011-12-17;2.8053977;
2011-12-18;2.7840896;
2011-12-19;2.763081;
2011-12-20;2.742394;
2011-12-21;2.7220507;
2011-12-22;2.702074;
2011-12-23;2.6824877;
2011-12-24;2.6633158;
2011-12-25;2.6445825;
2011-12-26;2.626313;
2011-12-27;2.608532;
2011-12-28;2.5912654;
2011-12-29;2.574539;
2011-12-30;2.5583792;
2011-12-31;2.5428126;
2012-01-01;2.527866;
2012-01-02;2.5135663;
2012-01-03;2.499941;
2012-01-04;2.4870176;
2012-01-05;2.474824;
2012-01-06;2.4633873;
2012-01-07;2.4527354;
2012-01-08;2.4428966;
2012-01-09;2.4338982;
2012-01-10;2.4257684;
2012-01-11;2.4185345;
2012-01-12;2.412224;
2012-01-13;2.4068646;
2012-01-14;2.4024827;
2012-01-15;2.3991055;
2012-01-16;2.3967593;
2012-01-17;2.39547;
2012-01-18;2.395263;
2012-01-19;2.3961632;
2012-01-20;2.3981953;
2012-01-21;2.4013824;
2012-01-22;2.405748;
2012-01-23;2.4113133;
2012-01-24;2.4181;
2012-01-25;2.4261284;
2012-01-26;2.4354174;
2012-01-27;2.445985;
2012-01-28;2.457848;
2012-01-29;2.4710221;
2012-01-30;2.485521;
2012-01-31;2.5013576;
2012-02-01;2.5185432;
2012-02-02;2.5370874;
2012-02-03;2.5569985;
2012-02-04;2.5782833;
2012-02-05;2.600947;
2012-02-06;2.6249924;
2012-02-07;2.6504219;
2012-02-08;2.6772356;
2012-02-09;2.7054317;
2012-02-10;2.7350075;
2012-02-11;2.765958;
2012-02-12;2.7982771;
2012-02-13;2.8319566;
2012-02-14;2.8669872;
2012-02-15;2.9033575;
2012-02-16;2.941055;
2012-02-17;2.9800656;
2012-02-18;3.0203733;
2012-02-19;3.0619607;
2012-02-20;3.1048093;
2012-02-21;3.1488988;
2012-02-22;3.1942077;
2012-02-23;3.2407124;
2012-02-24;3.288389;
2012-02-25;3.3372114;
2012-02-26;3.3871527;
2012-02-27;3.4381845;
2012-02-28;3.4902775;
2012-02-29;3.5434012;
2012-03-01;3.5975237;
2012-03-02;3.6526117;
2012-03-03;3.7086315;
2012-03-04;3.7655478;
2012-03-05;3.823324;
2012-03-06;3.8819227;
2012-03-07;3.9413056;
2012-03-08;4.001433;
2012-03-09;4.0622644;
2012-03-10;4.123759;
2012-03-11;4.185873;
2012-03-12;4.2485642;
2012-03-13;4.3117876;
2012-03-14;4.3754983;
2012-03-15;4.439651;
2012-03-16;4.504198;
2012-03-17;4.569093;
2012-03-18;4.6342874;
2012-03-19;4.699733;
2012-03-20;4.7653804;
2012-03-21;4.8311796;
2012-03-22;4.8970804;
2012-03-23;4.963033;
2012-03-24;5.028986;
2012-03-25;5.094888;
2012-03-26;5.160688;
2012-03-27;5.226333;
2012-03-28;5.2917724;
2012-03-29;5.3569527;
2012-03-30;5.421822;
2012-03-31;5.4863286;
2012-04-01;5.55042;
2012-04-02;5.614044;
2012-04-03;5.6771502;
2012-04-04;5.7396865;
2012-04-05;5.8016024;
2012-04-06;5.8628488;
2012-04-07;5.9233756;
2012-04-08;5.983135;
2012-04-09;6.0420794;
2012-04-10;6.100163;
2012-04-11;6.1573396;
2012-04-12;6.2135653;
2012-04-13;6.268797;
2012-04-14;6.322993;
2012-04-15;6.376113;
2012-04-16;6.4281173;
2012-04-17;6.478969;
2012-04-18;6.5286317;
2012-04-19;6.5770707;
2012-04-20;6.6242523;
2012-04-21;6.670145;
2012-04-22;6.7147183;
2012-04-23;6.7579436;
2012-04-24;6.7997947;
2012-04-25;6.8402452;
2012-04-26;6.8792715;
2012-04-27;6.916851;
2012-04-28;6.9529634;
2012-04-29;6.987589;
2012-04-30;7.02071;
2012-05-01;7.0523105;
2012-05-02;7.082376;
2012-05-03;7.1108937;
2012-05-04;7.1378527;
2012-05-05;7.1632442;
2012-05-06;7.187061;
2012-05-07;7.209297;
2012-05-08;7.22995;
2012-05-09;7.249018;
2012-05-10;7.2665024;
2012-05-11;7.282405;
2012-05-12;7.2967315;
2012-05-13;7.3094883;
2012-05-14;7.320686;
2012-05-15;7.3303347;
2012-05-16;7.338449;
2012-05-17;7.345045;
2012-05-18;7.3501406;
